Campaign_ID,Date,Campaign_Name,Campaign_Type,Channel,Region,Device,Customer_Segment,Spend,CTR,CPC,Clicks,Impressions
4517,2025-01-02,Diwali Bonanza,Festival,Email,West,Desktop,Premium,86497,7.99,2.81,30782,385257
7313,2025-01-02,New Year Blast,Festival,Instagram,Central,Mobile,Loyal,100273,1.73,25.66,3908,225896
7209,2025-01-02,Flash Sale,Promotional,Instagram,South,Mobile,New,44854,2.55,25.05,1791,70235
3544,2025-01-02,Flash Sale,Promotional,Instagram,North,Mobile,Returning,32184,2.0,21.23,1516,75800
4595,2025-01-02,Weekend Special,Promotional,Google Search,West,Mobile,Returning,21017,4.21,55.38,380,9026
1991,2025-01-02,Festive Combo,Festival,Instagram,North,Mobile,New,149386,1.85,13.9,10747,580919
803,2025-01-02,Mega Clearance,Clearance,Facebook,North,Desktop,New,19289,1.77,20.57,938,52994
5274,2025-01-02,New Year Blast,Festival,Facebook,West,Mobile,Premium,133437,1.93,21.26,6276,325181
9681,2025-01-02,Winter Sale,Seasonal,Facebook,West,Mobile,New,67659,2.61,14.0,4833,185172
286,2025-01-02,Flash Sale,Promotional,Facebook,North,Mobile,Loyal,32093,2.93,13.56,2367,80785
9430,2025-01-02,Diwali Bonanza,Festival,Instagram,South,Mobile,Premium,110724,1.83,29.35,3773,206175
8217,2025-01-02,Winter Sale,Seasonal,Instagram,South,Mobile,Premium,41366,2.62,12.25,3377,128893
8521,2025-01-02,Weekend Special,Promotional,YouTube,North,Mobile,Premium,23490,1.91,7.06,3327,174188
8746,2025-01-02,Summer Sale,Seasonal,Email,North,Desktop,Loyal,59319,11.87,2.85,20814,175350
4823,2025-01-02,Back to School,Seasonal,Facebook,South,Mobile,Loyal,34440,2.99,9.01,3822,127826
4267,2025-01-02,Festive Combo,Festival,YouTube,East,Mobile,Premium,89756,1.99,11.77,7626,383216
6076,2025-01-02,New Year Blast,Festival,Google Search,North,Mobile,Loyal,149148,6.69,29.28,5094,76143
2200,2025-01-02,Black Friday,Promotional,Email,Central,Desktop,New,34858,9.16,3.45,10104,110306
8105,2025-01-02,Weekend Special,Promotional,Instagram,West,Mobile,New,35875,2.3,14.91,2406,104609
8518,2025-01-02,Mega Clearance,Clearance,Instagram,North,Mobile,Returning,26537,1.63,27.14,978,60000
1445,2025-01-02,Winter Sale,Seasonal,Google Search,West,Mobile,New,35318,4.28,58.06,608,14206
3728,2025-01-02,Mega Clearance,Clearance,Google Search,Central,Mobile,New,28048,5.62,51.77,542,9644
6493,2025-01-02,Diwali Bonanza,Festival,Instagram,East,Mobile,New,89702,1.99,25.24,3554,178593
5095,2025-01-02,New Year Blast,Festival,Facebook,West,Mobile,Premium,63102,1.69,12.68,4976,294438
5036,2025-01-02,New Year Blast,Festival,Instagram,Central,Mobile,New,94963,1.99,12.52,7585,381156
1233,2025-01-02,Winter Sale,Seasonal,Instagram,East,Mobile,Premium,63126,1.48,24.94,2531,171014
8354,2025-01-02,Diwali Bonanza,Festival,Facebook,East,Mobile,Returning,121209,2.37,13.37,9066,382532
400,2025-01-02,Mega Clearance,Clearance,Facebook,East,Mobile,New,24828,1.65,19.2,1293,78364
8811,2025-01-03,Flash Sale,Promotional,YouTube,North,Mobile,Returning,24636,1.47,13.44,1833,124694
6007,2025-01-03,Flash Sale,Promotional,YouTube,West,Mobile,Returning,45254,1.69,5.38,8412,497751
9253,2025-01-03,Weekend Special,Promotional,Instagram,East,Mobile,New,48299,2.59,17.19,2810,108494
4284,2025-01-03,Flash Sale,Promotional,Instagram,South,Mobile,Loyal,41451,2.07,19.51,2125,102657
7087,2025-01-03,Back to School,Seasonal,YouTube,South,Desktop,Loyal,44035,0.86,8.32,5293,615465
1063,2025-01-03,Mega Clearance,Clearance,Email,South,Mobile,Loyal,21363,11.96,3.4,6283,52533
1790,2025-01-03,Summer Sale,Seasonal,Instagram,Central,Mobile,New,63513,1.29,26.46,2400,186047
6205,2025-01-03,Summer Sale,Seasonal,Instagram,West,Mobile,Returning,68640,2.69,15.49,4431,164721
4403,2025-01-03,Black Friday,Promotional,Facebook,North,Mobile,Returning,46584,1.63,23.06,2020,123926
9216,2025-01-03,Winter Sale,Seasonal,Email,Central,Mobile,Loyal,38061,8.03,2.9,13124,163437
9224,2025-01-03,Back to School,Seasonal,YouTube,Central,Desktop,Returning,41680,1.61,4.02,10368,643975
7282,2025-01-03,New Year Blast,Festival,Instagram,Central,Mobile,New,125698,1.56,20.31,6189,396731
6900,2025-01-03,Back to School,Seasonal,YouTube,Central,Mobile,Premium,32519,1.03,8.89,3658,355146
8823,2025-01-03,Diwali Bonanza,Festival,Facebook,West,Desktop,Premium,85881,1.82,23.95,3586,197033
7458,2025-01-03,Diwali Bonanza,Festival,Instagram,Central,Desktop,New,119752,1.84,17.32,6914,375761
2731,2025-01-03,Festive Combo,Festival,Email,South,Desktop,Returning,95342,9.67,4.88,19537,202037
4839,2025-01-03,New Year Blast,Festival,YouTube,South,Mobile,Returning,149596,1.74,11.46,13054,750230
4958,2025-01-03,Summer Sale,Seasonal,Instagram,Central,Mobile,Returning,37580,1.6,12.87,2920,182500
2613,2025-01-03,Summer Sale,Seasonal,Facebook,North,Mobile,New,39229,1.76,13.13,2988,169773
1951,2025-01-03,Mega Clearance,Clearance,Instagram,East,Mobile,New,27184,2.04,28.2,964,47255
8894,2025-01-03,Black Friday,Promotional,LinkedIn,North,Mobile,Premium,39693,3.6,85.34,465,12917
8896,2025-01-03,Summer Sale,Seasonal,Facebook,East,Mobile,Loyal,54684,2.41,24.73,2211,91743
7455,2025-01-03,Weekend Special,Promotional,Facebook,South,Desktop,Returning,46359,2.88,10.1,4590,159375
7901,2025-01-03,Mega Clearance,Clearance,YouTube,East,Mobile,New,25028,1.03,13.53,1850,179612
7896,2025-01-03,Flash Sale,Promotional,Instagram,South,Mobile,New,44768,2.33,22.62,1979,84936
7820,2025-01-03,Black Friday,Promotional,Google Search,South,Mobile,Returning,38605,4.92,41.86,922,18740
4346,2025-01-03,Festive Combo,Festival,Facebook,North,Mobile,New,95621,2.04,16.83,5682,278529
9015,2025-01-03,Festive Combo,Festival,Instagram,Central,Mobile,Loyal,146035,1.85,14.11,10350,559459
7559,2025-01-03,Festive Combo,Festival,Instagram,North,Mobile,Premium,110330,2.56,15.04,7336,286562
944,2025-01-03,Winter Sale,Seasonal,YouTube,Central,Mobile,Returning,37689,1.83,11.65,3235,176776
3604,2025-01-03,Mega Clearance,Clearance,Google Search,Central,Mobile,New,27558,6.67,51.64,534,8006
7527,2025-01-03,Festive Combo,Festival,Facebook,South,Mobile,Returning,133235,2.23,12.02,11084,497040
5581,2025-01-04,Black Friday,Promotional,Facebook,South,Mobile,New,23763,1.85,11.86,2004,108324
2599,2025-01-04,Back to School,Seasonal,LinkedIn,West,Desktop,Returning,40795,3.78,143.12,285,7540
2622,2025-01-04,Winter Sale,Seasonal,YouTube,South,Mobile,Returning,49796,1.74,13.03,3822,219655
8491,2025-01-04,Weekend Special,Promotional,Instagram,South,Desktop,New,24796,2.78,27.37,906,32590
1712,2025-01-04,Weekend Special,Promotional,Facebook,Central,Desktop,Premium,47280,2.22,11.8,4007,180495
961,2025-01-04,Festive Combo,Festival,Instagram,West,Mobile,Premium,129783,1.85,22.33,5812,314162
6117,2025-01-04,Summer Sale,Seasonal,Instagram,South,Desktop,New,59225,2.24,22.79,2599,116027
2674,2025-01-04,New Year Blast,Festival,Instagram,Central,Desktop,New,131351,2.51,28.83,4556,181514
7342,2025-01-04,Festive Combo,Festival,Email,North,Desktop,Loyal,147109,5.86,1.65,89157,1521451
2806,2025-01-04,Diwali Bonanza,Festival,Google Search,Central,Desktop,New,96636,6.43,50.16,1927,29969
9700,2025-01-04,Festive Combo,Festival,Google Search,West,Mobile,Returning,70597,6.66,48.46,1457,21877
8488,2025-01-04,New Year Blast,Festival,Facebook,East,Mobile,New,72243,1.88,10.65,6783,360798
2594,2025-01-04,Weekend Special,Promotional,Instagram,West,Mobile,Loyal,46352,1.98,20.73,2236,112929
2757,2025-01-04,Winter Sale,Seasonal,Facebook,South,Mobile,New,50827,1.52,24.8,2049,134803
6764,2025-01-04,Black Friday,Promotional,Instagram,North,Desktop,New,21288,2.2,13.78,1545,70227
5059,2025-01-04,Mega Clearance,Clearance,Instagram,Central,Mobile,New,28723,1.75,22.27,1290,73714
2245,2025-01-04,Festive Combo,Festival,Instagram,South,Mobile,New,114948,2.58,27.99,4107,159186
9397,2025-01-04,Diwali Bonanza,Festival,YouTube,West,Mobile,Returning,91789,1.22,13.34,6881,564016
637,2025-01-04,Diwali Bonanza,Festival,Facebook,South,Desktop,Returning,80677,2.82,9.37,8610,305319
3365,2025-01-04,Mega Clearance,Clearance,Instagram,South,Mobile,Premium,18426,1.74,21.93,840,48276
8019,2025-01-04,Black Friday,Promotional,Facebook,Central,Mobile,Premium,29354,2.02,23.18,1266,62673
7694,2025-01-04,Summer Sale,Seasonal,Instagram,North,Desktop,Premium,35787,2.56,11.4,3139,122617
847,2025-01-04,Festive Combo,Festival,Google Search,East,Mobile,Premium,103452,4.62,27.37,3780,81818
1763,2025-01-04,Weekend Special,Promotional,Facebook,North,Desktop,Loyal,22719,2.98,8.43,2695,90436
4020,2025-01-04,Flash Sale,Promotional,Instagram,East,Mobile,Returning,44240,1.49,17.79,2487,166913
3827,2025-01-04,Diwali Bonanza,Festival,Email,South,Mobile,Loyal,72556,10.35,1.72,42184,407575
426,2025-01-04,New Year Blast,Festival,Instagram,Central,Mobile,New,101471,1.82,12.37,8203,450714
1770,2025-01-05,Black Friday,Promotional,Instagram,North,Desktop,Premium,40542,2.2,11.18,3626,164818
4818,2025-01-05,Diwali Bonanza,Festival,Facebook,East,Desktop,New,83385,1.57,8.23,10132,645350
1925,2025-01-05,Flash Sale,Promotional,Facebook,Central,Mobile,New,31934,1.74,17.6,1814,104253
1683,2025-01-05,Back to School,Seasonal,LinkedIn,North,Mobile,New,56686,4.16,107.2,529,12716
9332,2025-01-05,Summer Sale,Seasonal,Facebook,South,Mobile,Premium,37558,2.08,22.73,1652,79423
7221,2025-01-05,Summer Sale,Seasonal,Email,Central,Mobile,Loyal,67472,5.87,1.6,42170,718399
1555,2025-01-05,Winter Sale,Seasonal,YouTube,East,Mobile,New,41725,1.44,6.05,6897,478958
8791,2025-01-05,Summer Sale,Seasonal,Facebook,Central,Mobile,New,61698,2.27,11.92,5176,228018
2785,2025-01-05,Back to School,Seasonal,LinkedIn,West,Mobile,Loyal,66234,3.6,69.18,957,26583
2677,2025-01-05,Diwali Bonanza,Festival,Google Search,West,Mobile,Returning,111109,4.0,44.1,2519,62975
2895,2025-01-05,Black Friday,Promotional,Instagram,Central,Mobile,New,27243,2.25,17.88,1524,67733
8409,2025-01-05,Weekend Special,Promotional,Instagram,North,Mobile,New,27040,1.7,12.95,2088,122824
9901,2025-01-05,Black Friday,Promotional,Instagram,Central,Mobile,Premium,29626,1.87,22.81,1299,69465
28,2025-01-05,Black Friday,Promotional,Google Search,West,Mobile,Returning,34982,6.79,57.43,609,8969
3165,2025-01-05,New Year Blast,Festival,YouTube,North,Desktop,Returning,91812,1.65,13.86,6624,401455
866,2025-01-05,Flash Sale,Promotional,Google Search,West,Mobile,Returning,32278,5.73,25.13,1284,22408
7727,2025-01-05,Back to School,Seasonal,Google Search,North,Desktop,New,35607,6.12,41.44,859,14036
7629,2025-01-05,New Year Blast,Festival,Facebook,South,Mobile,Returning,126381,2.12,11.77,10738,506509
4343,2025-01-05,Winter Sale,Seasonal,LinkedIn,Central,Desktop,Returning,51353,3.45,148.82,345,10000
3700,2025-01-05,Flash Sale,Promotional,Google Search,West,Mobile,New,33996,6.42,21.95,1549,24128
9787,2025-01-05,Flash Sale,Promotional,Email,North,Desktop,Returning,22553,10.97,3.62,6230,56791
2416,2025-01-05,Summer Sale,Seasonal,Facebook,East,Desktop,New,32721,2.09,15.38,2128,101818
276,2025-01-05,Weekend Special,Promotional,Facebook,West,Mobile,New,47590,2.43,22.71,2096,86255
9626,2025-01-05,Black Friday,Promotional,Google Search,South,Desktop,Returning,22712,6.22,56.55,402,6463
1429,2025-01-05,Back to School,Seasonal,Google Search,North,Desktop,Returning,32313,6.36,23.43,1379,21682
4143,2025-01-05,Diwali Bonanza,Festival,Instagram,East,Mobile,New,123190,1.28,23.31,5285,412891
6791,2025-01-05,Summer Sale,Seasonal,Facebook,South,Mobile,New,53804,1.89,18.44,2918,154392
2240,2025-01-05,Winter Sale,Seasonal,Google Search,North,Mobile,Loyal,60582,4.99,34.59,1751,35090
973,2025-01-05,Diwali Bonanza,Festival,Instagram,West,Mobile,Premium,66820,1.89,21.94,3046,161164
9519,2025-01-05,Weekend Special,Promotional,Facebook,West,Mobile,Premium,44811,2.96,22.72,1972,66622
1123,2025-01-05,Mega Clearance,Clearance,Facebook,South,Desktop,New,14564,2.82,15.79,922,32695
7114,2025-01-05,Winter Sale,Seasonal,Facebook,East,Desktop,Returning,68143,2.44,22.81,2987,122418
9082,2025-01-05,Mega Clearance,Clearance,Google Search,East,Mobile,Loyal,15548,4.57,31.93,487,10656
7379,2025-01-05,Summer Sale,Seasonal,Facebook,East,Desktop,Returning,40467,2.83,15.9,2545,89929
9342,2025-01-06,Mega Clearance,Clearance,Google Search,Central,Mobile,Returning,15718,4.1,52.86,297,7244
8160,2025-01-06,Black Friday,Promotional,Facebook,North,Mobile,New,23537,2.32,24.71,953,41078
1941,2025-01-06,Festive Combo,Festival,Instagram,North,Mobile,New,103003,1.55,22.66,4546,293290
7794,2025-01-06,Diwali Bonanza,Festival,Instagram,Central,Desktop,New,126420,1.36,22.54,5609,412426
6484,2025-01-06,Weekend Special,Promotional,Google Search,West,Desktop,New,38722,5.66,56.95,680,12014
8193,2025-01-06,Mega Clearance,Clearance,Email,Central,Desktop,Loyal,25106,11.28,3.39,7406,65656
9387,2025-01-06,Black Friday,Promotional,Instagram,West,Desktop,New,20803,2.68,21.19,982,36642
5601,2025-01-06,Diwali Bonanza,Festival,LinkedIn,Central,Desktop,Premium,112949,2.92,67.62,1670,57192
4086,2025-01-06,Flash Sale,Promotional,Google Search,East,Mobile,Returning,33394,4.95,21.21,1574,31798
2380,2025-01-06,Black Friday,Promotional,Instagram,North,Mobile,Loyal,39644,1.45,12.52,3166,218345
2963,2025-01-06,Back to School,Seasonal,Google Search,West,Mobile,Returning,65705,5.74,38.58,1703,29669
4257,2025-01-06,Summer Sale,Seasonal,Facebook,Central,Desktop,New,48387,2.37,11.32,4274,180338
4425,2025-01-06,Diwali Bonanza,Festival,YouTube,Central,Mobile,Premium,99242,1.84,6.85,14488,787391
4662,2025-01-06,Weekend Special,Promotional,Google Search,Central,Mobile,Premium,49165,5.21,56.08,877,16833
3556,2025-01-06,New Year Blast,Festival,Email,Central,Mobile,Loyal,108009,6.55,2.71,39856,608489
4168,2025-01-06,Flash Sale,Promotional,Google Search,North,Mobile,New,42428,6.69,29.82,1423,21271
2067,2025-01-06,Weekend Special,Promotional,Instagram,East,Mobile,Loyal,20384,1.94,26.09,781,40258
4564,2025-01-06,Summer Sale,Seasonal,Google Search,East,Mobile,Premium,52586,4.46,59.96,877,19664
6023,2025-01-07,Back to School,Seasonal,Facebook,West,Mobile,Premium,53968,2.44,12.2,4424,181311
3805,2025-01-07,Mega Clearance,Clearance,Instagram,North,Mobile,Returning,21826,1.85,25.78,847,45784
307,2025-01-07,Back to School,Seasonal,Facebook,South,Mobile,Premium,37558,2.61,8.04,4671,178966
3878,2025-01-07,Diwali Bonanza,Festival,Instagram,West,Mobile,Loyal,143321,2.67,22.64,6330,237079
7066,2025-01-07,Diwali Bonanza,Festival,Facebook,West,Mobile,New,111181,2.63,15.68,7091,269620
7475,2025-01-07,Weekend Special,Promotional,Facebook,North,Desktop,New,24377,2.04,22.0,1108,54314
4098,2025-01-07,Black Friday,Promotional,Google Search,East,Mobile,Premium,30604,5.63,43.71,700,12433
6521,2025-01-07,Summer Sale,Seasonal,YouTube,Central,Mobile,New,64014,1.67,9.7,6599,395150
1376,2025-01-07,Festive Combo,Festival,Facebook,East,Mobile,New,89600,2.47,11.67,7678,310850
4185,2025-01-07,Black Friday,Promotional,Google Search,East,Mobile,Returning,40946,6.75,32.95,1243,18415
1519,2025-01-07,Winter Sale,Seasonal,Google Search,North,Mobile,New,38730,4.03,22.4,1729,42903
5573,2025-01-07,Black Friday,Promotional,Instagram,East,Mobile,New,31159,2.16,24.48,1273,58935
4296,2025-01-07,Black Friday,Promotional,Instagram,West,Mobile,New,48993,2.21,25.14,1949,88190
9090,2025-01-07,Weekend Special,Promotional,Facebook,West,Mobile,Returning,28180,1.55,17.72,1590,102581
1876,2025-01-07,Weekend Special,Promotional,Instagram,North,Mobile,Premium,27518,2.56,27.62,996,38906
997,2025-01-07,Black Friday,Promotional,Google Search,Central,Mobile,New,49790,4.3,41.07,1212,28186
5736,2025-01-07,Flash Sale,Promotional,Instagram,North,Desktop,New,43405,1.69,10.35,4194,248166
2403,2025-01-07,Flash Sale,Promotional,Instagram,South,Mobile,Loyal,44370,2.26,20.68,2146,94956
8216,2025-01-07,Black Friday,Promotional,Facebook,North,Mobile,Loyal,21779,2.51,11.7,1861,74143
8453,2025-01-07,New Year Blast,Festival,Google Search,South,Mobile,Returning,100256,5.79,33.64,2980,51468
8198,2025-01-07,Diwali Bonanza,Festival,Email,South,Mobile,Loyal,85662,9.65,1.21,70795,733627
8611,2025-01-07,Flash Sale,Promotional,Facebook,West,Mobile,Returning,36304,1.7,11.69,3106,182706
8390,2025-01-07,Black Friday,Promotional,Google Search,West,Mobile,Returning,35882,4.16,41.55,864,20769
863,2025-01-07,Summer Sale,Seasonal,YouTube,West,Mobile,New,56464,1.79,12.34,4576,255642
7606,2025-01-07,Mega Clearance,Clearance,Instagram,Central,Mobile,New,11004,2.66,24.42,451,16955
7596,2025-01-07,Mega Clearance,Clearance,Instagram,Central,Mobile,Premium,17989,2.14,29.01,620,28972
477,2025-01-07,Flash Sale,Promotional,YouTube,South,Desktop,Returning,23944,1.35,11.58,2068,153185
22,2025-01-08,New Year Blast,Festival,Instagram,North,Desktop,New,132132,1.28,29.99,4406,344219
3132,2025-01-08,Flash Sale,Promotional,Google Search,Central,Mobile,Loyal,29557,4.62,21.23,1392,30130
6192,2025-01-08,Back to School,Seasonal,Google Search,North,Mobile,New,34843,4.65,49.93,698,15011
4211,2025-01-08,New Year Blast,Festival,Facebook,Central,Mobile,Returning,99711,1.87,14.9,6692,357861
6027,2025-01-08,Black Friday,Promotional,Facebook,South,Mobile,Returning,43723,2.25,12.66,3454,153511
8477,2025-01-08,Flash Sale,Promotional,YouTube,North,Mobile,New,23595,1.84,13.94,1693,92011
3679,2025-01-08,Mega Clearance,Clearance,Facebook,South,Mobile,New,10513,2.25,15.93,660,29333
3199,2025-01-08,Festive Combo,Festival,Facebook,West,Mobile,Returning,121508,2.32,17.12,7097,305905
6508,2025-01-08,New Year Blast,Festival,Instagram,North,Mobile,Premium,104335,1.39,11.97,8716,627050
6676,2025-01-08,Mega Clearance,Clearance,Google Search,East,Mobile,Loyal,27432,5.25,54.8,501,9543
8210,2025-01-08,Winter Sale,Seasonal,Google Search,East,Mobile,Returning,42607,5.85,33.33,1278,21846
6971,2025-01-08,Festive Combo,Festival,LinkedIn,East,Mobile,Loyal,142982,4.28,62.9,2273,53107
4024,2025-01-08,Diwali Bonanza,Festival,YouTube,West,Desktop,Returning,105422,1.69,13.32,7915,468343
3892,2025-01-08,Summer Sale,Seasonal,YouTube,Central,Mobile,Premium,56857,1.56,8.21,6925,443910
3373,2025-01-08,Summer Sale,Seasonal,Google Search,East,Mobile,Loyal,49178,5.92,42.37,1161,19611
3412,2025-01-08,Diwali Bonanza,Festival,Instagram,South,Mobile,New,98468,2.62,16.4,6004,229160
9013,2025-01-08,Flash Sale,Promotional,Instagram,East,Mobile,Loyal,38914,2.62,13.73,2834,108168
9200,2025-01-08,Winter Sale,Seasonal,LinkedIn,Central,Mobile,Premium,41960,2.33,139.28,301,12918
632,2025-01-08,Diwali Bonanza,Festival,Instagram,South,Mobile,Loyal,141051,1.59,22.98,6138,386038
9515,2025-01-08,Weekend Special,Promotional,Instagram,South,Desktop,Premium,46861,1.26,20.98,2234,177302
5249,2025-01-08,Winter Sale,Seasonal,YouTube,South,Mobile,New,39255,1.99,10.5,3739,187889
1733,2025-01-08,Diwali Bonanza,Festival,Facebook,East,Mobile,Returning,71296,2.52,19.21,3711,147262
5386,2025-01-08,Flash Sale,Promotional,Email,East,Mobile,Loyal,23515,5.45,3.69,6373,116936
4498,2025-01-08,Summer Sale,Seasonal,YouTube,South,Desktop,New,62135,0.9,14.96,4153,461444
4644,2025-01-08,Weekend Special,Promotional,YouTube,West,Desktop,Premium,48893,1.82,7.73,6325,347527
1896,2025-01-08,Flash Sale,Promotional,Instagram,East,Desktop,Premium,45310,1.95,20.46,2215,113590
4692,2025-01-08,Flash Sale,Promotional,Instagram,Central,Mobile,Loyal,36793,1.71,27.17,1354,79181
5619,2025-01-08,Winter Sale,Seasonal,Email,East,Desktop,Loyal,38697,8.54,1.78,21740,254567
5126,2025-01-09,Summer Sale,Seasonal,Instagram,East,Mobile,Loyal,30886,1.52,18.18,1699,111776
2229,2025-01-09,Flash Sale,Promotional,Email,West,Desktop,Returning,25361,6.8,4.14,6126,90088
6751,2025-01-09,Weekend Special,Promotional,Instagram,West,Mobile,Premium,44116,2.72,22.58,1954,71838
6998,2025-01-09,Summer Sale,Seasonal,Instagram,West,Mobile,New,59569,1.98,13.53,4403,222374
3967,2025-01-09,Summer Sale,Seasonal,YouTube,South,Mobile,Returning,61243,1.97,8.87,6905,350508
2579,2025-01-09,Winter Sale,Seasonal,YouTube,South,Mobile,Premium,36406,1.62,14.19,2566,158395
1096,2025-01-09,Summer Sale,Seasonal,Google Search,Central,Desktop,Returning,62001,5.42,21.81,2843,52454
3409,2025-01-09,Summer Sale,Seasonal,Facebook,East,Mobile,Loyal,35123,1.71,18.52,1896,110877
3909,2025-01-09,Weekend Special,Promotional,Google Search,Central,Mobile,Returning,48344,4.16,27.23,1775,42668
2370,2025-01-09,New Year Blast,Festival,Google Search,South,Mobile,Returning,117621,6.34,31.14,3777,59574
1010,2025-01-09,Mega Clearance,Clearance,Email,East,Desktop,Loyal,12859,7.53,1.81,7104,94343
3247,2025-01-09,Weekend Special,Promotional,Instagram,South,Desktop,New,44038,1.54,13.19,3339,216818
681,2025-01-09,Festive Combo,Festival,Google Search,East,Desktop,Returning,122395,5.12,49.32,2482,48477
8143,2025-01-09,Winter Sale,Seasonal,Facebook,North,Mobile,Loyal,66837,2.78,19.39,3447,123993
3653,2025-01-09,Festive Combo,Festival,YouTube,Central,Mobile,New,139472,1.09,14.87,9379,860459
8318,2025-01-09,Festive Combo,Festival,Facebook,East,Mobile,New,87545,2.67,22.55,3882,145393
6197,2025-01-09,Festive Combo,Festival,Google Search,South,Desktop,Returning,90490,6.97,22.26,4065,58321
5633,2025-01-09,Mega Clearance,Clearance,Facebook,North,Mobile,New,20736,2.12,13.11,1582,74623
1503,2025-01-09,Black Friday,Promotional,Email,North,Mobile,Loyal,40914,11.66,1.76,23247,199374
6061,2025-01-09,Mega Clearance,Clearance,YouTube,North,Desktop,Returning,21791,1.91,11.21,1944,101780
1561,2025-01-09,Winter Sale,Seasonal,Google Search,South,Mobile,Returning,54485,4.94,27.95,1949,39453
5737,2025-01-09,Black Friday,Promotional,Email,West,Desktop,Loyal,34658,6.9,3.93,8819,127812
7102,2025-01-10,Winter Sale,Seasonal,Facebook,North,Mobile,Returning,52897,2.09,13.6,3889,186077
2279,2025-01-10,Flash Sale,Promotional,Google Search,South,Desktop,New,37903,6.61,38.02,997,15083
2317,2025-01-10,Summer Sale,Seasonal,LinkedIn,South,Mobile,Premium,34374,4.51,118.23,291,6452
3822,2025-01-10,Festive Combo,Festival,Email,South,Desktop,Loyal,92844,11.26,2.02,45962,408188
4606,2025-01-10,Flash Sale,Promotional,Google Search,North,Desktop,New,38834,4.68,57.37,677,14466
3724,2025-01-10,Festive Combo,Festival,Google Search,North,Desktop,Returning,63512,4.45,41.76,1521,34180
4369,2025-01-10,Summer Sale,Seasonal,Facebook,North,Mobile,Premium,33631,2.95,24.93,1349,45729
7547,2025-01-10,Winter Sale,Seasonal,Google Search,North,Desktop,New,57705,5.16,29.78,1938,37558
7667,2025-01-10,Flash Sale,Promotional,Instagram,East,Desktop,New,41925,2.22,16.76,2501,112658
3554,2025-01-10,New Year Blast,Festival,Google Search,South,Desktop,Returning,138459,5.0,25.31,5471,109420
9827,2025-01-10,Back to School,Seasonal,Facebook,North,Mobile,Premium,59522,2.46,11.38,5230,212602
808,2025-01-10,Mega Clearance,Clearance,Facebook,North,Mobile,Loyal,27096,2.63,16.54,1638,62281
5764,2025-01-10,Back to School,Seasonal,Instagram,North,Desktop,New,34348,1.64,20.57,1670,101829
8135,2025-01-10,Black Friday,Promotional,Email,North,Desktop,Premium,27348,5.71,1.59,17200,301226
